district,vote_share,mshare,eshare,rep_inc,mccain,median_age,pct_white,pct_college,med_hhinc,pct_female,cshare_nm,aug_mshare,sep_mshare,oct_mshare,aug_cnnshare,sep_cnnshare,oct_cnnshare,vote_share_12,mshare_12
169,69.47740805,80,80.64516129,1,60,38.3,93.1,22.7,48.793,50.3,0,0,80.95238095,84.61538462,0,0,0,66.96501371,4.173622705
170,77.42459742,60,75,1,67,39.7,96.7,11.5,28.647,50.2,0,100,66.66666667,56.25,0,0,0,35.06577271,34.375
171,49.86442153,77.43902439,78.66666667,0,55,36.2,85.5,29.6,43.754,51.4,0,90.47619048,75.80645161,76.92307692,0,0,0,63.98046566,11.36363636
172,80.35971738,94.11764706,93.33333333,1,73,38.4,78.7,28.4,49.562,51.1,100,80,100,100,1,0,0,77.89661674,77.77777778
173,34.13359773,43.75,43.75,1,25,35.2,32.3,23.3,33.788,52.3,66.66666667,25,28.57142857,52.5,0,0,0.666666667,51.99959275,50.53191489
174,63.76692007,68.75,72.72727273,0,61,35.8,66.6,12.5,45.359,50.8,0,100,0,70,0,0,0,77.96659799,64.93506494
175,65.83350018,82.35294118,81.25,1,59,35.8,60.8,20.5,41.632,51,0,60,100,66.66666667,0,0,0,17.87334752,NA
176,NA,NA,NA,1,62,36.4,62.1,15.2,32.768,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,65.63328661,100,100,1,57,34.2,61.4,27.7,48.945,50.9,0,100,100,100,0,0,0,NA,NA
178,NA,NA,NA,1,63,35.7,70.5,19.1,40.04,51.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,43.17692321,39.50617284,39.28571429,0,38,43,94.9,34.6,53.003,51.2,0,25,11.11111111,49.01960784,0,0,0,NA,NA
180,44.86841563,78.94736842,71.42857143,0,43,43.5,95.5,21.9,39.938,50.7,0,33.33333333,93.75,72.22222222,0,0,0,35.20804379,4.255319149
181,56.30049579,51.68539326,56.75675676,0,58,41.5,82.4,33.9,69.901,50.8,0,0,75,44.7761194,0,0,0,41.80633317,21.42857143
182,34.1374671,32.5,20,0,38,37.4,58.6,24.4,56.056,53.9,0,0,0,35.29411765,0,0,0,66.54902229,33.21167883
183,37.09422129,30,27.27272727,0,39,36.8,66.7,43.6,72.039,51,0,0,0,42.85714286,0,0,0,32.179984,22.22222222
184,16.41513863,22.03389831,15.625,0,14,36.3,27.3,36,73.798,53.2,0,0,14.28571429,24.44444444,0,0,0,30.66825389,60.34482759
185,35.01476842,29.14798206,26.85714286,0,33,36.8,52.8,33.2,85.675,50.9,8.333333333,20,17.89473684,38.21138211,0,0,1,21.17103084,17.39130435
186,64.90895213,91.30434783,92.30769231,1,58,40.9,86.9,30.2,67.337,50,0,100,100,81.81818182,0,0,0,28.53373426,2.840909091
187,23.29886859,27.11864407,35.29411765,0,20,35.9,34.1,36,50.965,52.3,0,0,12.5,33.33333333,0,0,0,39.20443532,30.91684435
188,25.44288807,100,100,0,25,38,56.3,56,90.203,51,0,100,100,0,0,0,0,21.38395307,2.631578947
189,36.7625192,20,25,0,34,40.8,88.7,28.7,52.418,51.2,0,0,0,50,0,0,0,34.19398362,30.76923077
190,42.62899607,11.62790698,17.85714286,0,39,40.2,83.5,29.3,54.841,51.7,0,0,15.38461538,12,0,0,0,NA,NA
191,40.95808153,0,0,0,39,39,85.5,39.4,64.764,51,0,0,0,0,0,0,0,NA,NA
192,44.58150902,14.72370112,16.95011338,0,35,40.8,86.5,41.8,66.797,52.5,3.846153846,5.714285714,13.85642738,16.31982475,0,0.035714286,0.052631579,34.02023696,30.1369863
193,43.51460203,0,0,0,39,40.1,78.2,38,69.66,50.6,0,0,0,0,0,0,0,36.99361403,16.64712778
194,43.05798246,35.64356436,37.93103448,0,41,41.7,86.6,40.9,74.012,51.8,0,33.33333333,31.57894737,36.11111111,0,0,0,24.36419394,22.58064516
195,33.52162546,10.38961039,10.25641026,0,33,39.2,78.4,45.6,68.979,51.6,0,0,9.090909091,20,0,0,0,49.39449705,44.40677966
196,NA,NA,NA,0,14,30,55,47.7,49.718,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,27.62905693,2.684563758,2.941176471,0,39,39.4,72.4,40.8,70.419,51.6,0,0,1.923076923,5.084745763,0,0,0,23.75281957,3.802281369
198,47.48508537,96.31490787,93.00699301,0,44,44.4,90.4,39.1,66.839,51.7,50,100,93.5483871,97.91666667,0,0,1,35.38910063,45.45454545
199,55.96688136,64.21052632,72.05882353,0,48,45.6,92.8,18.6,38.92,49.1,0,95,68.42105263,50,0,0,0,50.28307935,70.71428571
200,67.36476274,8.333333333,15.38461538,0,51,38.9,89,22.3,45.613,50.3,0,0,0,12.5,0,0,0,64.10946362,40
201,61.4305338,64.86486486,65.625,0,49,35.5,83.7,29.4,50.385,50.5,0,75,66.66666667,63.33333333,0,0,0,54.36486448,83.43195266
202,68.4509353,100,100,1,48,40.1,93,22.4,42.523,50.3,0,100,100,100,0,0,0,65.27703369,94.28571429
203,45.53070073,60,63.15789474,0,35,39,76.4,17.2,39.488,51.6,0,33.33333333,100,61.9047619,0,0,0,32.63529087,10.52631579
204,64.85561249,63.63636364,63.63636364,1,45,38.6,84.7,24.3,43.738,50.9,0,100,50,75,0,0,0,56.16208373,61.83431953
205,52.50084653,50.81967213,54.16666667,0,46,40.5,89.3,22.1,45.62,49.9,0,21.42857143,66.66666667,52.22222222,0,0,0,55.35353667,35.29411765
206,65.11659751,68,77.77777778,1,46,37.5,88.1,32.2,55.686,50.5,0,97.10144928,34.48275862,66.66666667,0,0,0,61.11601395,96.65271967
207,48.69315052,1.098901099,2.222222222,0,43,40.6,76.4,47.6,65.465,51.5,0,0,0,2,0,0,0,35.4628777,20
208,74.20381323,100,100,1,50,41,92.5,21.9,54.008,50.7,0,100,100,100,0,0,0,69.81739235,76.47058824
209,60.62833249,100,100,1,45,39.9,82.9,34.6,59.95,51.3,100,100,0,100,0,0,1,53.3623744,75.83333333
210,36.40629862,14.28571429,14.28571429,0,33,40.3,71.6,22.5,43.07,52.4,0,0,33.33333333,11.11111111,0,0,0,29.89177517,59.13978495
211,18.86816731,8.333333333,9.375,0,15,35.7,35.3,17.1,28.627,51.3,0,8,0,33.33333333,0,0,0,14.14384998,1.176470588
212,20.56349845,3.488372093,3.614457831,0,14,36.8,36.5,16.6,32.017,53,0,0,0,5.769230769,0,0,0,15.968867,13.26530612
