"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
167,"The Hurt Locker","6/26/2009","Summit Entertainment","Drama","R",4346706,550913,4346704
168,"Sea Rex 3D: Journey to a Prehistoric World","12/31/2010","3D Entertainment","?","?",4328844,548649,4328841
169,"Did You Hear About the Morgans?","12/18/2009","Sony Pictures","Romantic Comedy","PG-13",4267703,540900,4267701
170,"Greenberg","3/19/2010","Focus Features","Romantic Comedy","R",4234170,536650,4234169
171,"My Name is Khan","2/12/2010","Fox Searchlight","Drama","PG-13",4046336,512844,4046339
172,"Please Give","4/30/2010","Sony Pictures Classics","?","R",4033574,511226,4033573
173,"Precious (Based on the Novel Push by Sapphire)","11/6/2009","Lionsgate","Drama","R",3806401,482434,3806404
174,"To Save a Life","1/22/2010","Samuel Goldwyn Films","Drama","PG-13",3777210,478734,3777211
175,"The Runaways","3/19/2010","Apparition","Drama","R",3573673,452937,3573673
176,"Inside Job","10/8/2010","Sony Pictures Classics","Documentary","PG-13",3452017,437518,3452017
177,"Exit Through the Gift Shop","4/16/2010","Producer's Distribution Agency","Documentary","?",3291250,417142,3291250
178,"Catfish","9/17/2010","Universal","Documentary","PG-13",3237343,410310,3237346
179,"You Will Meet a Tall Dark Stranger","9/22/2010","Sony Pictures Classics","Drama","R",3229586,409326,3229582
180,"Chloe","3/26/2010","Sony Pictures Classics","Thriller/Suspense","R",3075255,389766,3075254
181,"Broken Embraces","11/20/2009","Sony Pictures Classics","Thriller/Suspense","R",2991650,379170,2991651
182,"Joan Rivers: A Piece of Work","6/11/2010","IFC Films","Documentary","R",2930687,371443,2930685
183,"Letters to God","4/9/2010","Vivendi Entertainment","Drama","PG",2848587,361038,2848590
184,"2012","11/13/2009","Sony Pictures","Action","PG-13",2670038,338408,2670039
185,"Planet 51","11/20/2009","Sony Pictures","Adventure","PG",2623491,332508,2623488
186,"N-Secure","10/15/2010","Freestyle Releasing","Thriller/Suspense","R",2595644,328979,2595644
187,"Never Let Me Go","9/15/2010","Fox Searchlight","Drama","R",2434652,308574,2434649
188,"The Twilight Saga: Twilight/New Moon Combo","6/29/2010","Summit Entertainment","?","?",2385237,302311,2385234
189,"Robot","10/1/2010","B4U Movies","Action","?",2276427,288521,2276431
190,"Old Dogs","11/25/2009","Walt Disney Pictures","Comedy","PG",2252485,285486,2252485
191,"The White Ribbon","12/30/2009","Sony Pictures Classics","Drama","R",2137172,270871,2137172
192,"A Prophet","2/26/2010","Sony Pictures Classics","Drama","R",2087720,264603,2087718
193,"U2 3D","1/23/2008","National Geographic Entertainment","Concert/Performance","G",2054521,260396,2054524
194,"Space Station","4/19/2002","IMAX Films","Documentary","Not Rated",1931542,244809,1931543
195,"The Fantastic Mr. Fox","11/13/2009","20th Century Fox","Adventure","PG",1879730,238242,1879729
196,"Harry Brown","4/30/2010","Samuel Goldwyn Films","Thriller/Suspense","R",1818681,230505,1818684
197,"Stone","10/8/2010","Overture Films","Drama","R",1810078,229414,1810076
198,"3 Idiots","12/23/2009","Reliance Big Pictures","Comedy","PG-13",1776771,225193,1776773
199,"Flipped","8/6/2010","Warner Bros.","Romantic Comedy","PG",1755212,222460,1755209
200,"Coco Chanel and Igor Stravinsky","6/11/2010","Sony Pictures Classics","Drama","R",1725982,218756,1725985
201,"Kites","5/21/2010","Reliance Big Pictures","Thriller/Suspense","?",1685269,213596,1685272
202,"Cairo Time","8/6/2010","IFC Films","Drama","PG",1603616,203247,1603619
203,"Rajneeti","6/4/2010","UTV Communications","?","?",1514557,191959,1514557
204,"The Joneses","4/16/2010","Roadside Attractions","?","R",1475746,187040,1475746
205,"Nowhere Boy","10/8/2010","Weinstein Co.","Drama","R",1445366,183190,1445369
206,"Deep Sea 3-D","3/3/2006","Warner Bros.","Documentary","G",1379500,174842,1379503
207,"Restrepo","6/25/2010","National Geographic Entertainment","Documentary","R",1330894,168681,1330893
208,"Dabangg","9/10/2010","Eros Entertainment","Drama","?",1288549,163314,1288547
209,"Micmacs","5/28/2010","Sony Pictures Classics","Comedy","R",1259693,159657,1259694
210,"The Road","11/25/2009","Weinstein Co.","Drama","R",1255957,159183,1255954
211,"Housefull","4/30/2010","Eros Entertainment","Romantic Comedy","?",1183658,150020,1183658
212,"Golmaal 3","11/5/2010","Eros Entertainment","Comedy","?",1132192,143497,1132191
213,"Brothers","12/4/2009","Lionsgate","Drama","R",1129244,143123,1129240
214,"I Love You, Phillip Morris","12/3/2010","Roadside Attractions","Comedy","R",1126302,142751,1126305
215,"Mother and Child","5/7/2010","Sony Pictures Classics","?","R",1110509,140749,1110510
216,"The Perfect Game","4/16/2010","Slowhand Cinema","Drama","PG",1089445,138079,1089443
